参数组合,final_asset,cumulative_return,annual_return,max_drawdown,sharpe_ratio,annual_volatility,trade_count,completed_round_trips,win_rate,benchmark_return,excess_return,sell_count,entry_window,exit_window,atr_window
E20/X10/ATR14,94515.53999999998,-0.05484460000000024,-0.05681707079731957,-0.22729718659789522,-0.2646190711678531,0.1677892034375707,16,5,0.2,0.447122891199208,-0.5019674911992082,5,20,10,14
E55/X20/ATR14,97424.05,-0.025759499999999935,-0.026700705728716412,-0.0989337178919375,-0.09501542048480018,0.15680842820600838,8,2,0.5,0.447122891199208,-0.47288239119920794,2,55,20,14
E20/X20/ATR14,109396.75,0.09396749999999998,0.09761245921492057,-0.17314195617985806,0.49823462229903653,0.2483753641598296,12,3,0.6666666666666666,0.447122891199208,-0.353155391199208,3,20,20,14
E20/X10/ATR20,96362.68999999997,-0.03637310000000027,-0.037694542346335846,-0.22800038775153797,-0.13077982605095384,0.17587239382109474,16,5,0.2,0.447122891199208,-0.4834959911992083,5,20,10,20
