stock,ts_code,final_asset,cumulative_return,annual_return,max_drawdown,sharpe_ratio,annual_volatility,trade_count,completed_round_trips,win_rate,benchmark_return,excess_return,sell_count,avg_holding_days,entry_window,exit_window,atr_window
贵州茅台,600519.SH,95496.37,-0.04503630000000003,-0.046664783580053215,-0.06371582469623294,-0.6661863326538584,0.0682423204914529,7,3,0.3333333333333333,-0.15622350946595076,0.11118720946595073,3,13.0,20,10,20
宁德时代,300750.SZ,96362.68999999997,-0.03637310000000027,-0.037694542346335846,-0.22800038775153797,-0.13077982605095384,0.17587239382109474,16,5,0.2,0.447122891199208,-0.4834959911992083,5,24.6,20,10,20
招商银行,600036.SH,90703.80000000002,-0.09296199999999988,-0.0962338825118847,-0.09514039999999968,-1.78695138082582,0.05573633083338584,10,4,0.0,-0.20982621754988207,0.11686421754988219,4,15.75,20,10,20
