trade_date,stock_name,ts_code,direction,signal,close,trade_price,shares,fee,slippage_cost,cash_before,shares_before,cash_after,shares_after,total_asset,trade_pnl
2025-08-21,宁德时代,300750.SZ,买入,金叉,279.0,279.0558,300,25.115021999999996,16.740000000000002,100000.0,0,16258.144978000011,300,99958.14497800001,
2025-11-27,宁德时代,300750.SZ,卖出,死叉,371.2,371.12576,300,33.4013184,22.272000000000002,16258.144978000011,300,127562.4716596,0,127562.4716596,27562.471659600007
2025-12-12,宁德时代,300750.SZ,买入,金叉,391.8,391.87836,300,35.2690524,23.508000000000003,127562.4716596,0,9963.6946072,300,127503.6946072,
2025-12-22,宁德时代,300750.SZ,卖出,死叉,371.84,371.765632,300,33.458906879999994,22.310399999999998,9963.6946072,300,121459.92530032,0,121459.92530032,-6102.546359280008
2026-02-11,宁德时代,300750.SZ,买入,金叉,368.0,368.0736,300,33.126624,22.080000000000002,121459.92530032,0,11004.71867632,300,121404.71867632,
2026-03-05,宁德时代,300750.SZ,卖出,死叉,350.25,350.17995,300,31.5161955,21.015,11004.71867632,300,116027.18748082001,0,116027.18748082001,-5432.737819499991
2026-03-12,宁德时代,300750.SZ,买入,金叉,395.5,395.5791,200,23.734745999999994,15.82,116027.18748082001,0,36887.632734820014,200,115987.63273482001,
2026-05-21,宁德时代,300750.SZ,卖出,死叉,411.63,411.54767400000003,200,24.69286044,16.4652,36887.632734820014,200,119172.47467438002,0,119172.47467438002,3145.2871935600124
