stock_name,ts_code,short_window,long_window,total_return,annual_return,sharpe,max_drawdown,win_rate,profit_loss_ratio,trade_count,completed_trades,signal_density,benchmark_return,excess_return,final_asset
贵州茅台,600519.SH,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.07818930041152264,-0.15622350946595076,0.15622350946595076,100000.0
贵州茅台,600519.SH,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.06172839506172839,-0.15622350946595076,0.15622350946595076,100000.0
贵州茅台,600519.SH,10,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.03292181069958848,-0.15622350946595076,0.15622350946595076,100000.0
贵州茅台,600519.SH,11,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.03292181069958848,-0.15622350946595076,0.15622350946595076,100000.0
宁德时代,300750.SZ,5,15,0.0026152256126008577,0.002712217056954902,0.04810684743989257,-0.2933535045058291,0.25,3.029279830429619,16,8,0.06995884773662552,0.447122891199208,-0.44450766558660715,100261.52256126008
宁德时代,300750.SZ,5,20,0.026831307017800787,0.027838767205292658,0.13952106699460648,-0.2560516626103625,0.14285714285714285,6.703952142562288,14,7,0.06172839506172839,0.447122891199208,-0.4202915841814072,102683.13070178007
宁德时代,300750.SZ,10,30,0.19172474674380013,0.19949181703113306,0.7291305094141444,-0.2005378054755288,0.5,2.662072158538512,8,4,0.03292181069958848,0.447122891199208,-0.25539814445540787,119172.47467438002
宁德时代,300750.SZ,11,35,0.19571168198320033,0.20365362135381515,0.7468861731432159,-0.19519662161577578,0.5,2.7194527429499837,8,4,0.03292181069958848,0.447122891199208,-0.2514112092160077,119571.16819832004
招商银行,600036.SH,5,15,-0.15299613369699994,-0.15818922297144888,-2.0584640348421477,-0.1531346981716608,0.1111111111111111,0.4668435051017423,18,9,0.07407407407407407,-0.20982621754988207,0.05683008385288213,84700.38663030001
招商银行,600036.SH,5,20,-0.19214948605139948,-0.19850868508652197,-2.6469758661266938,-0.1999442084903993,0.1111111111111111,0.01870573149509428,18,9,0.07407407407407407,-0.20982621754988207,0.01767673149848259,80785.05139486006
招商银行,600036.SH,10,30,-0.10039032073539988,-0.10390837108416906,-1.3183570996890086,-0.12998603565265443,0.2,0.3549914595003042,10,5,0.0411522633744856,-0.20982621754988207,0.10943589681448218,89960.96792646001
招商银行,600036.SH,11,35,-0.09250235537599971,-0.09575892900308358,-1.2305333784569408,-0.1306667293477115,0.3333333333333333,0.029826603835962927,6,3,0.024691358024691357,-0.20982621754988207,0.11732386217388235,90749.76446240002
