trade_date,stock_name,ts_code,direction,signal,close,trade_price,shares,fee,slippage_cost,cash_before,shares_before,cash_after,shares_after,total_asset,trade_pnl
2025-08-07,招商银行,600036.SH,买入,金叉,45.15,45.159029999999994,2200,29.804959799999995,19.866,100000.0,0,620.3290401999984,2200,99950.3290402,
2025-08-12,招商银行,600036.SH,卖出,死叉,44.0,43.9912,2200,29.034191999999997,19.36,620.3290401999984,2200,97371.93484819999,0,97371.93484819999,-2628.0651518000086
2025-10-17,招商银行,600036.SH,买入,金叉,41.59,41.598318,2300,28.702839419999997,19.131400000000003,97371.93484819999,0,1667.1006087799906,2300,97324.10060878,
2025-10-31,招商银行,600036.SH,卖出,死叉,40.89,40.881822,2300,28.208457179999996,18.8094,1667.1006087799906,2300,95667.0827516,0,95667.0827516,-1704.8520965999924
2025-11-04,招商银行,600036.SH,买入,金叉,43.01,43.018601999999994,2200,28.392277319999994,18.924400000000002,95667.0827516,0,997.7660742800072,2200,95619.76607428,
2025-12-10,招商银行,600036.SH,卖出,死叉,41.7,41.691660000000006,2200,27.516495600000002,18.348000000000003,997.7660742800072,2200,92691.90157868003,0,92691.90157868003,-2975.181172919969
2026-01-06,招商银行,600036.SH,买入,金叉,42.73,42.738546,2100,26.925283979999996,17.9466,92691.90157868003,0,2914.0296947000315,2100,92647.02969470003,
2026-01-12,招商银行,600036.SH,卖出,死叉,41.12,41.111776,2100,25.900418879999997,17.270400000000002,2914.0296947000315,2100,89222.85887582002,0,89222.85887582002,-3469.0427028600097
2026-02-06,招商银行,600036.SH,买入,金叉,39.6,39.60792,2200,26.141227199999996,17.424,89222.85887582002,0,2059.2936486200197,2200,89179.29364862002,
2026-03-02,招商银行,600036.SH,卖出,死叉,38.67,38.662266,2200,25.51709556,17.0148,2059.2936486200197,2200,87090.76175306003,0,87090.76175306003,-2132.097122759995
2026-03-11,招商银行,600036.SH,买入,金叉,39.5,39.5079,2200,26.075214,17.380000000000003,87090.76175306003,0,147.30653906002408,2200,87047.30653906002,
2026-03-26,招商银行,600036.SH,卖出,死叉,39.56,39.552088000000005,2200,26.10437808,17.4064,147.30653906002408,2200,87135.79576098004,0,87135.79576098004,45.03400792001048
2026-03-31,招商银行,600036.SH,买入,金叉,39.32,39.327864,2200,25.956390239999998,17.300800000000002,87135.79576098004,0,588.5385707400419,2200,87092.53857074004,
2026-04-07,招商银行,600036.SH,卖出,死叉,38.99,38.982202,2200,25.728253319999997,17.1556,588.5385707400419,2200,86323.65471742004,0,86323.65471742004,-812.1410435599973
2026-04-16,招商银行,600036.SH,买入,金叉,39.91,39.917981999999995,2100,25.148328659999994,16.7622,86323.65471742004,0,2470.744188760058,2100,86281.74418876006,
2026-04-29,招商银行,600036.SH,卖出,死叉,38.5,38.4923,2100,24.250148999999997,16.17,2470.744188760058,2100,83280.32403976006,0,83280.32403976006,-3043.3306776599784
2026-06-02,招商银行,600036.SH,买入,金叉,38.8,38.807759999999995,2100,24.448888799999995,16.296,83280.32403976006,0,1759.5791509600676,2100,83239.57915096007,
2026-06-22,招商银行,600036.SH,卖出,死叉,37.65,37.642469999999996,2100,23.714756099999995,15.813,1759.5791509600676,2100,80785.05139486006,0,80785.05139486006,-2495.272644900004
