trade_date,stock_name,ts_code,direction,signal,close,trade_price,shares,fee,slippage_cost,cash_before,shares_before,cash_after,shares_after,total_asset,trade_pnl
2025-08-18,宁德时代,300750.SZ,买入,金叉,283.0,283.0566,300,25.475093999999995,16.98,100000.0,0,15057.54490600001,300,99957.54490600001,
2025-10-16,宁德时代,300750.SZ,卖出,死叉,368.5,368.4263,300,33.158367,22.11,15057.54490600001,300,125552.27653900003,0,125552.27653900003,25552.276539000028
2025-10-27,宁德时代,300750.SZ,买入,金叉,386.18,386.257236,300,34.76315123999999,23.1708,125552.27653900003,0,9640.342587760038,300,125494.34258776004,
2025-11-20,宁德时代,300750.SZ,卖出,死叉,379.39,379.314122,300,34.13827098,22.7634,9640.342587760038,300,123400.44091678005,0,123400.44091678005,-2151.83562221998
2025-12-08,宁德时代,300750.SZ,买入,金叉,392.5,392.5785,300,35.332065,23.55,123400.44091678005,0,5591.55885178005,300,123341.55885178005,
2025-12-19,宁德时代,300750.SZ,卖出,死叉,374.0,373.9252,300,33.653268000000004,22.44,5591.55885178005,300,117735.46558378007,0,117735.46558378007,-5664.97533299998
2026-02-05,宁德时代,300750.SZ,买入,金叉,362.94,363.012588,300,32.67113292,21.776400000000002,117735.46558378007,0,8799.01805086006,300,117681.01805086006,
2026-03-02,宁德时代,300750.SZ,卖出,死叉,340.22,340.15195600000004,300,30.61367604,20.413200000000003,8799.01805086006,300,110813.99117482008,0,110813.99117482008,-6921.474408959984
2026-03-11,宁德时代,300750.SZ,买入,金叉,396.8,396.87936,200,23.812761599999998,15.872,110813.99117482008,0,31414.30641322008,200,110774.30641322008,
2026-04-07,宁德时代,300750.SZ,卖出,死叉,384.59,384.513082,200,23.070784919999998,15.383600000000001,31414.30641322008,200,108293.85202830008,0,108293.85202830008,-2520.1391465199995
2026-04-14,宁德时代,300750.SZ,买入,金叉,430.79,430.87615800000003,200,25.852569479999996,17.2316,108293.85202830008,0,22092.76785882008,200,108250.76785882008,
2026-05-14,宁德时代,300750.SZ,卖出,死叉,427.0,426.9146,200,25.614876,17.080000000000002,22092.76785882008,200,107450.07298282007,0,107450.07298282007,-843.7790454800124
2026-06-03,宁德时代,300750.SZ,买入,金叉,426.42,426.505284,200,25.59031704,17.0568,107450.07298282007,0,22123.425865780067,200,107407.42586578007,
2026-06-05,宁德时代,300750.SZ,卖出,死叉,403.0,402.9194,200,24.175164,16.12,22123.425865780067,200,102683.13070178007,0,102683.13070178007,-4766.942281039999
