trade_date,stock_name,ts_code,direction,signal,close,trade_price,shares,fee,slippage_cost,cash_before,shares_before,cash_after,shares_after,total_asset,trade_pnl
2025-08-21,宁德时代,300750.SZ,买入,金叉,279.0,279.0558,300,25.115021999999996,16.740000000000002,100000.0,0,16258.144978000011,300,99958.14497800001,
2025-11-28,宁德时代,300750.SZ,卖出,死叉,373.2,373.12536,300,33.5812824,22.392,16258.144978000011,300,128162.17169560002,0,128162.17169560002,28162.171695600016
2025-12-17,宁德时代,300750.SZ,买入,金叉,383.42,383.496684,300,34.51470156,23.005200000000002,128162.17169560002,0,13078.651794040023,300,128104.65179404002,
2025-12-22,宁德时代,300750.SZ,卖出,死叉,371.84,371.765632,300,33.458906879999994,22.310399999999998,13078.651794040023,300,124574.88248716002,0,124574.88248716002,-3587.2892084399937
2026-02-12,宁德时代,300750.SZ,买入,金叉,375.87,375.945174,300,33.83506566,22.552200000000003,124574.88248716002,0,11757.495221500023,300,124518.49522150002,
2026-03-05,宁德时代,300750.SZ,卖出,死叉,350.25,350.17995,300,31.5161955,21.015,11757.495221500023,300,116779.96402600003,0,116779.96402600003,-7794.918461159992
2026-03-11,宁德时代,300750.SZ,买入,金叉,396.8,396.87936,200,23.812761599999998,15.872,116779.96402600003,0,37380.27926440003,200,116740.27926440003,
2026-05-22,宁德时代,300750.SZ,卖出,死叉,411.16,411.07776800000005,200,24.664666080000003,16.4464,37380.27926440003,200,119571.16819832004,0,119571.16819832004,2791.204172320009
