trade_date,stock_name,ts_code,direction,signal,close,trade_price,shares,fee,slippage_cost,cash_before,shares_before,cash_after,shares_after,total_asset,trade_pnl
2025-10-28,招商银行,600036.SH,买入,金叉,41.6,41.60832,2400,29.957990399999996,19.968,100000.0,0,110.07400960000814,2400,99950.07400960001,
2025-12-16,招商银行,600036.SH,卖出,死叉,41.7,41.691660000000006,2400,30.0179952,20.016000000000002,110.07400960000814,2400,100140.04001440002,0,100140.04001440002,140.04001440001593
2026-03-10,招商银行,600036.SH,买入,金叉,39.22,39.227844,2500,29.420882999999996,19.61,100140.04001440002,0,2041.0091314000165,2500,100091.00913140002,
2026-04-30,招商银行,600036.SH,卖出,死叉,38.27,38.262346,2500,28.6967595,19.135000000000005,2041.0091314000165,2500,97668.17737190002,0,97668.17737190002,-2471.8626424999966
2026-06-11,招商银行,600036.SH,买入,金叉,38.73,38.737745999999994,2500,29.053309499999994,19.365,97668.17737190002,0,794.7590624000295,2500,97619.75906240001,
2026-06-26,招商银行,600036.SH,卖出,死叉,36.0,35.9928,2500,26.9946,18.0,794.7590624000295,2500,90749.76446240002,0,90749.76446240002,-6918.412909499995
