trade_date,stock_name,ts_code,close,ma_short,ma_long,golden_cross,death_cross,signal,cash,shares,position_ratio,total_asset,strategy_nav,strategy_return,benchmark_nav,benchmark_return,cummax_nav,drawdown
2025-07-03,宁德时代,300750.SZ,262.59,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0,0.0,1.0,0.0
2025-07-04,宁德时代,300750.SZ,265.8,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0122243802124986,0.012224380212498609,1.0,0.0
2025-07-07,宁德时代,300750.SZ,260.89,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.993526029170951,-0.018472535741158702,1.0,0.0
2025-07-08,宁德时代,300750.SZ,263.31,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.002741917057009,0.009275940051362674,1.0,0.0
2025-07-09,宁德时代,300750.SZ,270.8,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0312654708861726,0.02844555846720609,1.0,0.0
2025-07-10,宁德时代,300750.SZ,272.0,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0358353326478542,0.004431314623338123,1.0,0.0
2025-07-11,宁德时代,300750.SZ,271.5,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0339312235804867,-0.0018382352941177516,1.0,0.0
2025-07-14,宁德时代,300750.SZ,268.5,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0225065691762825,-0.011049723756906049,1.0,0.0
2025-07-15,宁德时代,300750.SZ,267.75,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0196504055752313,-0.0027932960893854997,1.0,0.0
2025-07-16,宁德时代,300750.SZ,264.4,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.00689287482387,-0.012511671335200703,1.0,0.0
2025-07-17,宁德时代,300750.SZ,265.5,266.64,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0110819147720782,0.004160363086233021,1.0,0.0
2025-07-18,宁德时代,300750.SZ,271.2,267.42272727272723,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0327887581400663,0.021468926553672274,1.0,0.0
2025-07-21,宁德时代,300750.SZ,279.66,268.6827272727273,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0650062835599226,0.031194690265486935,1.0,0.0
2025-07-22,宁德时代,300750.SZ,286.66,271.0254545454545,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0916638105030658,0.025030394049917692,1.0,0.0
2025-07-23,宁德时代,300750.SZ,287.02,273.1809090909091,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0930347690315703,0.0012558431591431773,1.0,0.0
2025-07-24,宁德时代,300750.SZ,285.2,274.49,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0861038120263529,-0.006341021531600766,1.0,0.0
2025-07-25,宁德时代,300750.SZ,282.8,275.4718181818182,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0769640885029896,-0.008415147265076972,1.0,0.0
2025-07-28,宁德时代,300750.SZ,286.3,276.8172727272727,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0902928519745612,0.012376237623762165,1.0,0.0
2025-07-29,宁德时代,300750.SZ,291.82,278.9372727272727,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.111314216078297,0.01928047502619612,1.0,0.0
2025-07-30,宁德时代,300750.SZ,277.09,279.78636363636366,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.055219162953654,-0.0504763210198067,1.0,0.0
2025-07-31,宁德时代,300750.SZ,264.62,279.80636363636364,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0077306828135117,-0.04500342848893846,1.0,0.0
2025-08-01,宁德时代,300750.SZ,263.07,279.5854545454545,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0018279447046727,-0.005857455974605186,1.0,0.0
2025-08-04,宁德时代,300750.SZ,266.48,279.15636363636366,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0148139685441184,0.012962329418025886,1.0,0.0
2025-08-05,宁德时代,300750.SZ,265.7,277.8872727272727,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.011843558399025,-0.002927048934254217,1.0,0.0
2025-08-06,宁德时代,300750.SZ,265.0,275.91818181818184,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.009177805704711,-0.0026345502446366575,1.0,0.0
2025-08-07,宁德时代,300750.SZ,263.05,273.7390909090909,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0017517803419782,-0.0073584905660376565,1.0,0.0
2025-08-08,宁德时代,300750.SZ,263.48,271.7645454545455,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0033893141399142,0.0016346702147880254,1.0,0.0
2025-08-11,宁德时代,300750.SZ,263.66,270.02454545454543,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0040747934041663,0.0006831638074995539,1.0,0.0
2025-08-12,宁德时代,300750.SZ,263.25,267.9290909090909,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.002513423968925,-0.0015550329970416277,1.0,0.0
