trade_date,stock_name,ts_code,close,ma_short,ma_long,golden_cross,death_cross,signal,cash,shares,position_ratio,total_asset,strategy_nav,strategy_return,benchmark_nav,benchmark_return,cummax_nav,drawdown
2025-07-03,宁德时代,300750.SZ,262.59,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0,0.0,1.0,0.0
2025-07-04,宁德时代,300750.SZ,265.8,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0122243802124986,0.012224380212498609,1.0,0.0
2025-07-07,宁德时代,300750.SZ,260.89,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.993526029170951,-0.018472535741158702,1.0,0.0
2025-07-08,宁德时代,300750.SZ,263.31,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.002741917057009,0.009275940051362674,1.0,0.0
2025-07-09,宁德时代,300750.SZ,270.8,264.678,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0312654708861726,0.02844555846720609,1.0,0.0
2025-07-10,宁德时代,300750.SZ,272.0,266.56000000000006,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0358353326478542,0.004431314623338123,1.0,0.0
2025-07-11,宁德时代,300750.SZ,271.5,267.7,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0339312235804867,-0.0018382352941177516,1.0,0.0
2025-07-14,宁德时代,300750.SZ,268.5,269.22200000000004,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0225065691762825,-0.011049723756906049,1.0,0.0
2025-07-15,宁德时代,300750.SZ,267.75,270.11,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0196504055752313,-0.0027932960893854997,1.0,0.0
2025-07-16,宁德时代,300750.SZ,264.4,268.83,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.00689287482387,-0.012511671335200703,1.0,0.0
2025-07-17,宁德时代,300750.SZ,265.5,267.53000000000003,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0110819147720782,0.004160363086233021,1.0,0.0
2025-07-18,宁德时代,300750.SZ,271.2,267.47,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0327887581400663,0.021468926553672274,1.0,0.0
2025-07-21,宁德时代,300750.SZ,279.66,269.70199999999994,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0650062835599226,0.031194690265486935,1.0,0.0
2025-07-22,宁德时代,300750.SZ,286.66,273.484,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0916638105030658,0.025030394049917692,1.0,0.0
2025-07-23,宁德时代,300750.SZ,287.02,278.008,270.50533333333334,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0930347690315703,0.0012558431591431773,1.0,0.0
2025-07-24,宁德时代,300750.SZ,285.2,281.948,272.01266666666663,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0861038120263529,-0.006341021531600766,1.0,0.0
2025-07-25,宁德时代,300750.SZ,282.8,284.268,273.146,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0769640885029896,-0.008415147265076972,1.0,0.0
2025-07-28,宁德时代,300750.SZ,286.3,285.596,274.84,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0902928519745612,0.012376237623762165,1.0,0.0
2025-07-29,宁德时代,300750.SZ,291.82,286.62800000000004,276.74066666666664,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.111314216078297,0.01928047502619612,1.0,0.0
2025-07-30,宁德时代,300750.SZ,277.09,284.642,277.15999999999997,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.055219162953654,-0.0504763210198067,1.0,0.0
2025-07-31,宁德时代,300750.SZ,264.62,280.526,276.668,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0077306828135117,-0.04500342848893846,1.0,0.0
2025-08-01,宁德时代,300750.SZ,263.07,276.58000000000004,276.106,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0018279447046727,-0.005857455974605186,1.0,0.0
2025-08-04,宁德时代,300750.SZ,266.48,272.616,275.9713333333333,False,True,-1,100000.0,0,0.0,100000.0,1.0,0.0,1.0148139685441184,0.012962329418025886,1.0,0.0
2025-08-05,宁德时代,300750.SZ,265.7,267.392,275.8346666666667,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.011843558399025,-0.002927048934254217,1.0,0.0
2025-08-06,宁德时代,300750.SZ,265.0,264.974,275.87466666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.009177805704711,-0.0026345502446366575,1.0,0.0
2025-08-07,宁德时代,300750.SZ,263.05,264.66,275.71133333333336,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0017517803419782,-0.0073584905660376565,1.0,0.0
2025-08-08,宁德时代,300750.SZ,263.48,264.742,275.19666666666666,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0033893141399142,0.0016346702147880254,1.0,0.0
2025-08-11,宁德时代,300750.SZ,263.66,264.178,274.13,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0040747934041663,0.0006831638074995539,1.0,0.0
