trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,ema_12,ema_26,dif,dea,macd_bar,bb_middle,bb_upper,bb_lower,bb_bandwidth,tr,atr_14,atr_pct
2025-07-03,1412.0,1422.69,1408.0,1415.6,1409.6,6.0,0.43,24413,3456733002.0,,1415.6,1415.6,0.0,0.0,0.0,,,,,14.690000000000055,,
2025-07-04,1415.7,1431.89,1410.01,1422.22,1415.6,6.62,0.47,28767,4086547268.0,,1416.6184615384614,1416.0903703703702,0.5280911680911231,0.10561823361822463,0.8449458689457969,,,,,21.88000000000011,,
2025-07-07,1422.28,1423.5,1410.01,1410.7,1422.22,-11.52,-0.81,23855,3370562659.0,,1415.7079289940827,1415.6910836762688,0.016845317813931615,0.08786365045736604,-0.14203666528686884,,,,,13.490000000000009,,
2025-07-08,1410.71,1420.0,1410.7,1416.11,1410.7,5.41,0.38,18674,2643302691.0,,1415.769786071916,1415.7221145150638,0.047671556852264985,0.07982523173634583,-0.06430734976816169,,,,,9.299999999999955,,
2025-07-09,1415.0,1429.97,1414.17,1418.88,1416.11,2.77,0.2,27745,3950810723.0,,1416.2482805223906,1415.9560319583925,0.2922485639981005,0.12230989818869677,0.3398773316188075,,,,,15.799999999999955,,
2025-07-10,1418.97,1436.18,1410.4,1426.5,1418.88,7.62,0.54,38725,5503329754.0,,1417.8254681343305,1416.7370666281413,1.088401506189257,0.3155282197888088,1.5457465728008963,,,,,25.779999999999973,,
2025-07-11,1423.16,1458.0,1423.16,1427.0,1426.5,0.5,0.04,57243,8239010390.0,,1419.2369345752027,1417.4972839149457,1.7396506602569843,0.600352707882444,2.2785959047490807,,,,,34.83999999999992,,
2025-07-14,1430.0,1434.98,1421.6,1423.6,1427.0,-3.4,-0.24,27781,3961736006.0,,1419.908175409787,1417.949336958283,1.9588384515038797,0.8720498566067312,2.173577189794297,,,,,13.38000000000011,,
2025-07-15,1420.98,1422.93,1408.32,1411.0,1423.6,-12.6,-0.89,35406,5005150165.0,,1418.5376868852043,1417.4345712576696,1.1031156275346348,0.918263010792312,0.36970523348464557,,,,,15.279999999999973,,
2025-07-16,1410.01,1417.49,1409.95,1411.03,1411.0,0.03,0.0,21286,3006882579.0,,1417.3826581336343,1416.9601585719163,0.42249956171804115,0.8191103209774578,-0.7932215185188334,,,,,7.539999999999964,,
2025-07-17,1413.98,1423.01,1412.88,1416.35,1411.03,5.32,0.38,23106,3273100406.0,,1417.2237876515367,1416.9149616406633,0.30882601087341754,0.7170534589566498,-0.8164548961664646,,,,,11.980000000000018,,
2025-07-18,1420.0,1437.81,1416.38,1437.0,1416.35,20.65,1.46,41823,5984949774.0,,1420.2662818589927,1418.4027422598733,1.863539599119349,0.9463506869891898,1.8343778242603186,,,,,21.460000000000036,,
2025-07-21,1436.99,1446.8,1435.0,1443.0,1437.0,6.0,0.42,26203,3779891829.0,,1423.7637769576093,1420.2247613517345,3.539015605874738,1.4648836707662996,4.148263870216876,,,,,11.799999999999955,,
2025-07-22,1444.0,1466.6,1440.68,1464.98,1443.0,21.98,1.52,42119,6127636851.0,,1430.1047343487462,1423.539964214569,6.564770134177252,2.48486096344849,8.159818341457523,,,,,25.919999999999845,17.36714285714285,1.1854866863126357
2025-07-23,1469.0,1495.0,1468.95,1475.5,1464.98,10.52,0.72,45045,6676301462.0,76.05707325561164,1437.088621372016,1427.3888557542305,9.699765617785488,3.92784189431589,11.543847446939196,,,,,30.019999999999982,18.462142857142844,1.2512465508060213
2025-07-24,1476.0,1499.0,1475.0,1491.5,1475.5,16.0,1.08,38804,5786337377.0,77.86357786357786,1445.4596026993981,1432.1378294020653,13.321773297332811,5.8066281749192745,15.030290244827073,,,,,24.0,18.613571428571408,1.2479766294717671
2025-07-25,1491.4,1491.4,1453.0,1455.0,1491.5,-36.5,-2.45,41911,6140078741.0,64.83590087073006,1446.92735613026,1433.831323520431,13.09603260982908,7.2645090619012365,11.663047095855688,,,,,38.5,20.399999999999977,1.4020618556701014
2025-07-28,1453.0,1454.99,1436.3,1438.66,1455.0,-16.34,-1.12,38586,5560966386.0,57.036759657991695,1445.6554551871432,1434.1890032596582,11.466451927484968,8.104897635017982,6.723108584933971,,,,,18.700000000000045,21.071428571428555,1.4646565951252244
